Title,Joy,Love,Anger,Surprise,Sadness,Fear,Protagonist Roles,Time Period,Dominant Time of Day,Genres
10 Things I Hate About You,0.5753443388827963,0.5781817549418478,0.2761463507436036,0.0439409263128506,0.3629058010313939,0.2482449013038786,Creature/Royalty/Knight/Sorcerer,Past,Daytime,"['Comedy', 'Romance']"
12 and Holding,0.9783068093883338,0.7316284883235513,0.0499112796940443,0.3099412215043055,0.2053370629807236,0.3560349031973213,Comedian,Present,Daytime,['Drama']
12 Monkeys,0.9462448645080086,0.5969650162336666,0.0664827053134931,0.4492485963602846,0.4780261985775952,0.2569013542995417,Realist,Past,Daytime,"['Drama', 'Sci-Fi', 'Thriller']"
12 Years a Slave,0.9387685913795574,0.9733106784837716,0.0912616838619996,0.2905954324971581,0.2475789533907551,0.1951388748561454,Traveller/Explorer,Past,Daytime,['Drama']
12,0.9958753575369694,0.6147361394125073,0.0814722743824415,0.3156703069054972,0.0971384103131781,0.2354721526890397,Child,Past,Daytime,['Comedy']
127 Hours,0.5035522961594933,0.917650792948085,0.4421444345661937,0.1732812589072667,0.0419188620784276,0.1388637134627996,Realist,Past,Daytime,"['Drama', 'Adventure', 'Thriller']"
1492 Conquest of Paradise,0.776616560861138,0.9848002115401706,0.0066343723875047,0.2735127725072534,0.2614379570152078,0.3019514952898237,Realist,Past,Daytime,"['Drama', 'Adventure']"
15 Minutes,0.8466167983681946,0.9270962990637924,0.1436929828862277,0.0650711345436046,0.3932340403706937,0.3875356568991497,Child,Past,Daytime,"['Crime', 'Action', 'Thriller']"
17 Again,0.6029287473395746,0.8055517638636633,0.4208153184892954,0.4440937893747487,0.2331327122587032,0.3020583883748607,Detective/Spy,Past,Daytime,"['Comedy', 'Drama', 'Romance']"
187,0.1232540238952783,0.135664785658148,0.1844859727061523,0.1001952712193406,0.7390870010019165,0.8167758907734095,Child,Past,Daytime,['Drama']
2001 A Space Odyssey,0.5564566170374889,0.9739545758178144,0.2542070512148444,0.4759221211830998,0.2522584514785592,0.3627011971007632,Realist,Past,Daytime,"['Sci-Fi', 'Adventure']"
2012,0.71164073787504,0.7458369116003456,0.1122411013336584,0.0691525853140298,0.3669128773528063,0.0770146821035542,Detective/Spy,Past,Daytime,"['Drama', 'Thriller', 'Sci-Fi', 'Action', 'Adventure']"
25th Hour,0.7598512415383674,0.8775779642222643,0.0718579947905541,0.3982673201813675,0.2586737704533348,0.309595325306248,Fighter,Present,Daytime,"['Crime', 'Drama']"
28 Days Later,0.4559652885154193,0.1150830965853873,0.0716707009364728,0.0646267001251353,0.6876766129890235,0.6404278795365721,Creature/Royalty/Knight/Sorcerer,Present,Daytime,"['Horror', 'Drama', 'Sci-Fi']"
30 Minutes or Less,0.4440001259750601,0.2126899398492612,0.4389173193579631,0.2031576955065748,0.5493548557612737,0.6663036604064912,Realist,Past,Daytime,"['Comedy', 'Action', 'Adventure']"
42,0.6440997306999459,0.637056814324015,0.3060753896389969,0.0521947506917579,0.3219526596349668,0.3450255013867823,Child,Past,Daytime,['Drama']
44 Inch Chest,0.2862989836045094,0.0110173348868435,0.4251488108594267,0.4240634183024854,0.5159159287403596,0.7671296865179988,Realist,Past,Daytime,"['Crime', 'Drama']"
48 Hrs.,0.5264037825053143,0.5976402987207035,0.3463348227691133,0.2704136042724332,0.190887299593793,0.0440986756062248,Detective/Spy,Future,Daytime,"['Comedy', 'Action', 'Thriller']"
50-50,0.663392428748273,0.6884361268065478,0.2781416142354934,0.3529154477225256,0.3361275472071136,0.4704750950173785,Detective/Spy,Past,Daytime,"['Comedy', 'Drama']"
500 Days of Summer,0.5757834915266835,0.5919272404563432,0.235221593880175,0.3177494426498901,0.0479359688391525,0.3167772159636065,Soldier,Past,Daytime,"['Comedy', 'Drama', 'Romance']"
8MM,0.1513109427317618,0.2808263743327776,0.0716985378302433,0.2565988288362564,0.6770527920617779,0.9484244276649396,Fighter,Past,Daytime,['Thriller']
